Nom,Auteur,Catégorie,Goldmine,Link,Status
Bullshit Jobs,David Graeber,Société,,,Finished
"Voyage au bout de la nuit ",Celine,Roman,,,
Le meilleur des mondes,Alfred Huxley,Roman,,,Finished
Antifragile,Nassim Taleb,Roman,,,Finished
La fin de l’homme rouge,Svetlana Aleksievitch,Roman,"Goldmine ⭐️    ",,Finished
Gandhi ou l’éveil des humiliés,Jacques Attali,Biograhie,,,Finished
99 Francs,Frederic Beigbeder,Roman,"Goldmine ⭐️    ",,Finished
Les belles images,Simone de Beauvoir,Roman,,,Finished
Nouvelles sous ecstasy,Frederic Beigbeder,Roman,,,Finished
Nouveaux contes de la folie ordinaire,Charles Bukowski,Roman,,,Finished
Journal d’un vieux déguelasse,Charles Bukowski,Roman,,,Finished
Propaganda,Edward Bernays,Communication,,,Finished
Manuel à l’usage des femmes de ménage,Lucia Berlin,Roman,,,Finished
Oona & Salinger,Frederic Beigbeder,Roman,,,Finished
La révolution matérielle,Jean-Claude Daumas,Société,,,Finished
Internet rend-il bête ?,Nicholas Carr,Technologies,,,Finished
L’alchimiste,Paulo Coelho,Roman,,,Finished
Comment se faire des amis,Dale Carnegie,Communication,"Goldmine ⭐️    ",,Finished
American psycho,Bret Easton Ellis,Roman,"Goldmine ⭐️    ",,Finished
White,Bret Easton Ellis,Roman,,,Finished
Suites Impériales,Bret Easton Ellis,Roman,,,Finished
Gatsby le magnifique,Francis Scott Fitzgerald,Roman,,,Finished
"Moi, Christiane F., la vie malgré tout",Christiane F.,Biograhie,,,Finished
"Moi, Christiane F., 13 ans, droguée, prostituée...",Christiane F.,Biograhie,,,Finished
Les faux-monnayeurs,André Gide,Roman,,,Finished
L’art d’aimer,Erich Fromm,Développement personnel,,,Finished
Lettre à Ménécée,Epicure,Philosophie,"Goldmine ⭐️    ",,Finished
21 leçons pour le XXIe siècle,Yuval Noah Harari,Société,"Goldmine ⭐️    ",,Finished
Je selfie donc je suis,Elsa Godart,Société,,,Finished
Ta deuxième vie commence quand tu comprends que tu n’en as qu’une,Raphaëlle Giordano,Développement personnel,,,Finished
Soumission,Michel Houellebecq,Roman,,,Finished
Les leçons du pouvoir,François Hollande,Société,,,Finished
Le Prince,Machiavel,Société,,,Finished
